,ID,Name,Age,Nationality,Overall,Club,Value,Wage,Preferred Foot,Position,Jersey Number,Height,Weight,Release Clause
0,158023,L. Messi,31,Argentina,94,FC Barcelona,€110.5M,€565K,Left,RF,10,5'7,159lbs,€226.5M
1,20801,Cristiano Ronaldo,33,Portugal,94,Juventus,€77M,€405K,Right,ST,7,6'2,183lbs,€127.1M
2,190871,Neymar Jr,26,Brazil,92,Paris Saint-Germain,€118.5M,€290K,Right,LW,10,5'9,150lbs,€228.1M
3,193080,De Gea,27,Spain,91,Manchester United,€72M,€260K,Right,GK,1,6'4,168lbs,€138.6M
4,192985,K. De Bruyne,27,Belgium,91,Manchester City,€102M,€355K,Right,RCM,7,5'11,154lbs,€196.4M
5,183277,E. Hazard,27,Belgium,91,Chelsea,€93M,€340K,Right,LF,10,5'8,163lbs,€172.1M
6,177003,L. Modrić,32,Croatia,91,Real Madrid,€67M,€420K,Right,RCM,10,5'8,146lbs,€137.4M
7,176580,L. Suárez,31,Uruguay,91,FC Barcelona,€80M,€455K,Right,RS,9,6'0,190lbs,€164M
8,155862,Sergio Ramos,32,Spain,91,Real Madrid,€51M,€380K,Right,RCB,15,6'0,181lbs,€104.6M
9,200389,J. Oblak,25,Slovenia,90,Atlético Madrid,€68M,€94K,Right,GK,1,6'2,192lbs,€144.5M
10,188545,R. Lewandowski,29,Poland,90,FC Bayern München,€77M,€205K,Right,ST,9,6'0,176lbs,€127.1M
11,182521,T. Kroos,28,Germany,90,Real Madrid,€76.5M,€355K,Right,LCM,8,6'0,168lbs,€156.8M
12,182493,D. Godín,32,Uruguay,90,Atlético Madrid,€44M,€125K,Right,CB,10,6'2,172lbs,€90.2M
13,168542,David Silva,32,Spain,90,Manchester City,€60M,€285K,Left,LCM,21,5'8,148lbs,€111M
14,215914,N. Kanté,27,France,89,Chelsea,€63M,€225K,Right,LDM,13,5'6,159lbs,€121.3M
15,211110,P. Dybala,24,Argentina,89,Juventus,€89M,€205K,Left,LF,21,5'10,165lbs,€153.5M
16,202126,H. Kane,24,England,89,Tottenham Hotspur,€83.5M,€205K,Right,ST,9,6'2,196lbs,€160.7M
17,194765,A. Griezmann,27,France,89,Atlético Madrid,€78M,€145K,Left,CAM,7,5'9,161lbs,€165.8M
18,192448,M. ter Stegen,26,Germany,89,FC Barcelona,€58M,€240K,Right,GK,22,6'2,187lbs,€123.3M
19,192119,T. Courtois,26,Belgium,89,Real Madrid,€53.5M,€240K,Left,GK,1,6'6,212lbs,€113.7M
